"LANGUAGE","Čeština"
"BOB_NAM","BOB: nahrazovač stromů a objektů"
"BOB_DESC","Nahrazuje stromy a objekty."
"TRN_CHOICE","Nastavit jazyk"
"LANGUAGE_GAME","Použít jazyk hry"
"NOTE_CLOSE","Zavřít"
"NOTE_DONTSHOWAGAIN","Znovu nezobrazovat"
"BOB_ROW_WAS","bylo"
"BOB_PNL_NOP","Žádné objekty nenalezeny"
"BOB_PNL_NOT","Žádné stromy nenalezeny"
"BOB_PNL_TRE","Stromy"
"BOB_PNL_PRP","Objekty"
"BOB_PNL_BOT","Stromy i objekty"
"BOB_PNL_HDV","Skrýt vanillu"
"BOB_PNL_ACT","Akce"
"BOB_PNL_MOD","Režim nahrazení"
"BOB_PNL_LAN","Vybrat jízdní pruh"
"BOB_PNL_LAN_TIP","Vyberte konkrétní jízdní pruh na silnici pro úpravu, nebo zvolte zobrazení všech jízdních pruhů"
"BOB_PNL_LAN_ALL","Všechny jízdní pruhy"
"BOB_PNL_FUN","Extra funkce"
"BOB_PNL_M_PIB","Jednotlivé objekty v těchto budovách"
"BOB_PNL_M_PGB","Všechny objekty tohoto typu v těchto budovách"
"BOB_PNL_M_PAB","Všechny objekty tohoto typu ve všech budovách"
"BOB_PNL_M_TIB","Jednotlivé stromy v těchto budovách"
"BOB_PNL_M_TGB","Všechny stromy tohoto typu v těchto budovách"
"BOB_PNL_M_TAB","Všechny stromy tohoto typu ve všech budovách"
"BOB_PNL_M_PIN","Jednotlivé objekty na těchto silnicích"
"BOB_PNL_M_PGN","Všechny objekty tohoto typu na těchto silnicích"
"BOB_PNL_M_PAN","Všechny objekty tohoto typu na všech silnicích"
"BOB_PNL_M_TIN","Jednotlivé stromy na těchto silnicích"
"BOB_PNL_M_TGN","Všechny stromy tohoto typu na těchto silnicích"
"BOB_PNL_M_TAN","Všechny stromy tohoto typu na všech silnicích"
"BOB_PNL_RTB","ODSTRANIT Tyto budovy"
"BOB_PNL_RAB","ODSTRANIT Všechny budovy"
"BOB_PNL_RTN","ODSTRANIT Tyto silnice"
"BOB_PNL_RAN","ODSTRANIT Všechny silnice"
"BOB_PNL_RTT","Stromy mapy"
"BOB_PNL_RTP","Objekty mapy"
"BOB_PNL_RSW","Zobrazit náhodně"
"BOB_PNL_RST","Náhodné nastavení"
"BOB_PNL_SCA","Měřítko objektů a stromů"
"BOB_PNL_APP","Použít a uložit změny"
"BOB_PNL_REV","Vrátit"
"BOB_PNL_ADD","Přidat nový objekt"
"BOB_PNL_REM","Odstranit přidaný objekt"
"BOB_PNL_REV_UND","Vrátit vybrané náhrady"
"BOB_PNL_REV_TIP","Vrácení není k dispozici, protože pro tuto položku neexistuje žádná aktivní náhrada"
"BOB_PNL_HID","Skrýt tuto položku (nastavit pravděpodobnost na nulu)"
"BOB_PNL_PKB","Balíčky"
"BOB_PNL_PRB","Pravděpodobnost"
"BOB_PNL_ANG","Úhel"
"BOB_PNL_OFF","Odsazení"
"BOB_PNL_HEI","Výška"
"BOB_PNL_CUH","Vlastní"
"BOB_PNL_CUH_TIP","Zvolíte-li tuto volbu, bude použit vlastní posun výšky (místo výchozí výšky objektu)"
"BOB_PNL_XOF","X"
"BOB_PNL_YOF","Y"
"BOB_PNL_ZOF","Z"
"BOB_PNL_REP","Mezery"
"BOB_PNL_REP_TIP","Vzdálenost mezi instancemi"
"BOB_PNL_SUB","Podstavby"
"BOB_RND_TIT","nakonfigurovat náhodné stromy a objekty"
"BOB_RND_NEW","Nový"
"BOB_RND_DEL","Smazat"
"BOB_RND_REN","Přejmenovat"
"BOB_RND_ADD","Přidat k variantám"
"BOB_RND_SUB","Odstranit z variací"
"BOB_SCA_TIT","konfigurovat měřítko objektů"
"BOB_SCA_MIN","Minimální měřítko"
"BOB_SCA_MAX","Maximální měřítko"
"BOB_SPR_SBL","Náhrada je již pro tyto budovy použita"
"BOB_SPR_ABL","Náhrada je již pro všechny budovy použita"
"BOB_SPR_SNT","Náhrada je již pro tyto silnice použita"
"BOB_SPR_ANT","Náhrada je již pro všechny silnice použita"
"BOB_SPR_PCK","Balíček je momentálně používán"
"BOB_SPR_ADD","Tato položka je přidána BOBem a není součástí původního objektu"
"BOB_PCK_APP","Použít balíček"
"BOB_PCK_APP_A","Aplikuje vybraný balíček"
"BOB_PCK_APP_C","Balíček nelze použít, protože je v rozporu s již aplikovaným balíčkem"
"BOB_PCK_APP_I","Balíček je aktuálně použit"
"BOB_PCK_RVT","Vrátit balíček"
"BOB_PCK_RVT_A","Zrušit použití vybraného balíčku"
"BOB_PCK_RVT_I","Balíček není aktuálně použit"
"BOB_PCK_NAL","Ne všechny náhrady jsou k dispozici"
"BOB_CFG_UCS","Použít vybranou konfiguraci (místo globální konfigurace) pro tuto uloženou pozici"
"BOB_CFG_SAC","Uložit aktuální konfiguraci"
"BOB_CFG_SSC","Kopírovat vybranou konfiguraci"
"BOB_CFG_SEC","Nová prázdná konfigurace"
"BOB_CFG_DEL","Odstranit vybranou konfiguraci"
"BOB_CFG_LAA","Načíst a použít vybranou konfiguraci"
"BOB_CFG_LGL","Načíst a použít globální konfiguraci"
"BOB_CFG_CLE","Vyčistit aktuální konfiguraci"
"BOB_CFG_CLE_TIP","Odstraní všechny reference na nenačtené budovy, silnice, objekty a (nebo) stromy z aktuálního konfiguračního souboru"
"BOB_CFG_CMD","Vyčistit mapová data"
"BOB_CFG_CMD_TIP","Odstraní záznamy o nahrazených samostatných stromech a objektech z aktuální uložené hry.  Toto nastavení nelze vrátit (NEMÁ vliv na objekty nebo stromy v budovách či silnicích)"
"BOB_OPT_GEN","Základní možnosti"
"BOB_OPT_CFG","Nastavení"
"BOB_OPT_VIS","Vizuální efekty"
"BOB_OPT_RUI","Bourání"
"BOB_OPT_WIR","Dráty"
"BOB_OPT_KEY","Klávesová zkratka"
"BOB_OPT_DTK","Klávesová zkratka"
"PRESS_ANY_KEY","Stiskněte libovolnou klávesu"
"BOB_OPT_RGL","Změny se projeví po restartu"
"BOB_OPT_RRT","Zabránit ničení lokality stromy"
"BOB_OPT_RRP","Zabránit ničení lokality objekty"
"BOB_OPT_WTH","Tenčí elektrické dráty"
"BOB_NUKE","Vyčistit současnou konfiguraci"
"BOB_PER_IND","Ve výchozím nastavení zobrazovat jednotlivé položky"
"BOB_PER_SIN","Vždy vypnuto"
"BOB_PER_GRP","Vždy zapnuto"
"BOB_PER_LST","Zapamatovat předchozí nastavení"
"BOB_OPT_POS","Zapamatovat pozici předchozího panelu"
"BOB_OPT_DTT","Vypnout vanilla nástroj pro stromy"
"BOB_FIL_NAME","Hledat:"
"MES_PAGE","Další informace naleznete na stránce módu na Steam Workshopu."
"BOB_ERR_FAT","Toto znamená, že mód není schopen fungovat a vypnul se."
"BOB_ERR_HAR","BOB, nahrazovač stromů a objektů, nebyl schopen dokončit vyžadované Harmony záplaty."
"ERR_HAR0","Harmony - chyba záplatování"
"ERR_HAR1","Možné příčiny tohoto problému zahrnují:"
"ERR_HAR2","Vyžadován mód Harmony 2, který není nainstalován"
"ERR_HAR3","Starý a (nebo) rozbitý mód brání správnému fungování Harmony 2"
"RANDOM_TEMPLATE_MISSING","BOB was unable to load one or more random template assets:"
"PROP_TEMPLATE_MISSING","BOB random props will not work"
"TREE_TEMPLATE_MISSING","BOB random trees will not work"
"BOB_UPD_040_0","Představujeme výměnu stromů mapy! Aktivujte nástroj BOB jako obvykle a klikněte na volně stojící strom."
"BOB_UPD_041_0","Opravena občasný výpadek panelu pro výměnu v budově při změně cílového objektu."
"BOB_UPD_042_0","Povolit výběr dílčích budov"
"BOB_UPD_042_1","Opravena potenciální chyba při načítání"
"BOB_UPD_043_0","Oprava obnovení pravděpodobnosti při návratu nahrazení všech budov nebo všech silnic"
"BOB_UPD_043_1","Oprava neobnovení LOD po vrácení nahrazení ve všech silnicích nebo všech budováv"
"BOB_UPD_043_2","Úprava popisků textových polí informačního panelu tak, aby se do nich vešly delší překladové řetězce"
"BOB_UPD_050_0","Počáteční zavedení balíčků silnic"
"BOB_UPD_050_1","Nyní je správně kompatibilní s Network Skins 2"
"BOB_UPD_050_2","Rychlejší zpracování výměn"
"BOB_UPD_051_0","Nové rozvržení seznamu vlastností stromu/objektu s ikonami označujícími, který typ náhrady je aktivní"
"BOB_UPD_052_0","Přidání správy konfigurací pro práci s více různými konfiguračními soubory, přístupné přes panel možností"
"BOB_UPD_060_0","Nahrazení samostatného objektu"
"BOB_UPD_060_1","Zvýraznit vybrané objekty nebo stromy"
"BOB_UPD_060_2","Nyní můžete vybrat cesty u budov"
"BOB_UPD_060_3","Nyní můžete vybrat dekorace budov"
"BOB_UPD_060_4","Přepracovaný menší nahrazovací panel"
"BOB_UPD_061_0","Přidání vzestupných/sestupných filtrů řazení jmen do seznamů"
"BOB_UPD_062_0","Přidání možnosti neničit terén ze všech stromů a (nebo) objektů (v panelu možností)"
"BOB_UPD_062_1","Trajektové dráhy je nyní možno vybrat (změnit/skrýt signální bóje trajektové dráhy)"
"BOB_UPD_062_2","Oprava úhlů objektů silnic, které se někdy při výběru zobrazují nesprávně"
"BOB_UPD_080_0","Přidána výměna jednotlivých objektů silnic"
"BOB_UPD_080_1","Přidat tlačítko Unified UI (UUI)"
"BOB_UPD_086_0","Přidat možnost realističtější velikosti vodičů v sítích (elektrické vedení a železniční vedení)"
"BOB_UPD_090_0","Změny jsou nyní zobrazovány v reálném čase"
"BOB_UPD_090_1","Změna uživatelského rozhraní: výběr mezi režimy nahrazení před použitím změn"
"BOB_UPD_090_2","Změna uživatelského rozhraní: tlačítko ""skrýt"" pro automatické nastavení pravděpodobnosti na nulu"
"BOB_UPD_090_3","Překladatelské prostředí bylo aktualizováno pro použití CrowdIn"
"BOB_UPD_090_4","Stromy již nemají nastavení úhlu, protože to je vždy přepsáno jakýmkoliv módem s náhodnou rotací stromu"
"BOB_UPD_090_5","Zlepšit manipulaci s objekty se speciálními atributy"
"BOB_UPD_090_6","Další menší vylepšení funkcí a uživatelského rozhraní"
"BOB_UPD_091_0","Kombinovaný režim objekty/stromy - nahrazení objektů stromy nebo naopak"
"BOB_UPD_091_1","Nastavení rozestupů mezi opakujícími se silničními objekty (pouze individuální režim)"
"BOB_UPD_091_2","Podzemní režim pro výběr tunelů (PageDown/PageUp pro přepnutí)"
"BOB_UPD_091_3","Světla mohou být nyní přidána nebo odstraněna při hře (restartování již není nutné pro aktualizaci světelných efektů)"
"BOB_UPD_091_4","Zvýraznění polohy objektu/stromu je při stisknutém tlačítku shift ztlumeno a při stisknutém tlačítku alt zcela vypnuto"
"BOB_UPD_092_0","Přidání možnosti zakázat nahrazování stromů ve hře nástrojem pro stromy. Použití této volby deaktivuje funkci nástroje přichycení k silnici a umožňuje ruční umisťování stromů v blízkosti silnic (nebo na ně, pomocí módu Anarchy)."
"BOB_UPD_093_0","Hlavní nová funkce: přidávání objektů do budov."
"BOB_UPD_093_1","Přidání klávesové zkratky pro přepnutí nebo vypnutí vanilla nástroje pro stromy (výchozí Ctrl-Shift-T)"
"BOB_UPD_094_0","Hlavní nová funkce: přidávání objektů do silnic."
