"CODE","nl"
"NAME","Nederlands"
"BOB_NAM","BOB: de boom en prop vervanger"
"BOB_DESC","IN ONTWIKKELING: Vervangt bomen en props."
"TRN_CHOICE","Taal instellen"
"TRN_SYS","Gebruik speltaal"
"MES_CLS","Sluiten"
"MES_DSA","Niet opnieuw weergeven"
"BOB_MBX_OK","OK"
"BOB_ROW_WAS","was"
"BOB_PNL_NOP","Geen props gevonden"
"BOB_PNL_NOT","Geen bomen gevonden"
"BOB_PNL_TRE","Bomen"
"BOB_PNL_PRP","Props"
"BOB_PNL_BOT","Zowel bomen als props"
"BOB_PNL_IND","VERWIJDER Toon individuele props"
"BOB_PNL_HDV","Verberg vanilla"
"BOB_PNL_ACT","Acties"
"BOB_PNL_MOD","Vervangingsmodus"
"BOB_PNL_LAN","Selecteer rijstrook"
"BOB_PNL_LAN_TIP","Selecteer een specifieke rijstrook in het netwerk om deze te wijzigen, of geef alle rijstroken weer"
"BOB_PNL_LAN_ALL","Alle rijstroken"
"BOB_PNL_FUN","Extra functies"
"BOB_PNL_M_PIB","Individuele props in deze gebouwen"
"BOB_PNL_M_PGB","Alle props van dit soort in deze gebouwen"
"BOB_PNL_M_PAB","Alle props van dit type in alle gebouwen"
"BOB_PNL_M_TIB","Individuele bomen in deze gebouwen"
"BOB_PNL_M_TGB","Alle bomen van dit soort in deze gebouwen"
"BOB_PNL_M_TAB","Alle bomen van dit soort in alle gebouwen"
"BOB_PNL_M_PIN","Individuele props in deze netwerken"
"BOB_PNL_M_PGN","Alle props van dit type in deze netwerken"
"BOB_PNL_M_PAN","Alle props van dit type in alle netwerken"
"BOB_PNL_M_TIN","Individuele bomen in deze netwerken"
"BOB_PNL_M_TGN","Alle bomen van dit soort in deze netwerken"
"BOB_PNL_M_TAN","Alle bomen van dit soort in alle netwerken"
"BOB_PNL_RTB","VERWIJDER Deze gebouwen"
"BOB_PNL_RAB","VERWIJDER Alle gebouwen"
"BOB_PNL_RTN","VERWIJDER Deze netwerken"
"BOB_PNL_RAN","VERWIJDER Alle netwerken"
"BOB_PNL_RTT","Bomen op de kaart"
"BOB_PNL_RTP","Props op de kaart"
"BOB_PNL_RSW","Toon willekeurige"
"BOB_PNL_RST","Willekeurige configuratie"
"BOB_PNL_SCA","Schalen van props en bomen"
"BOB_PNL_APP","Wijzigingen toepassen en opslaan"
"BOB_PNL_REV","Terugzetten"
"BOB_PNL_ADD","Nieuwe prop toevoegen"
"BOB_PNL_REM","Toegevoegde prop verwijderen"
"BOB_PNL_REV_UND","Geselecteerde vervanging ongedaan maken"
"BOB_PNL_REV_TIP","Terugzetten is niet beschikbaar omdat er geen actieve vervanging is voor dit item"
"BOB_PNL_HID","Verberg dit item (stelt waarschijnlijkheid in op nul)"
"BOB_PNL_PKB","Vervangingspakketten"
"BOB_PNL_PRB","Waarschijnlijkheid"
"BOB_PNL_ANG","Hoek"
"BOB_PNL_OFF","Verschuiving"
"BOB_PNL_HEI","Hoogte"
"BOB_PNL_CUH","Aangepast"
"BOB_PNL_CUH_TIP","Als dit is geselecteerd, wordt de opgegeven aangepaste hoogteverschuiving gebruikt (in plaats van de standaard prop hoogte)"
"BOB_PNL_XOF","X"
"BOB_PNL_YOF","Y"
"BOB_PNL_ZOF","Z"
"BOB_PNL_REP","Afstand"
