"LANGUAGE","Português Brasileiro"
"BOB_NAM","BOB: o substituto de árvore e adereço"
"BOB_DESC","Substitui árvores e adereços."
"TRN_CHOICE","Definir idioma"
"LANGUAGE_GAME","Usar idioma do jogo"
"NOTE_CLOSE","Fechar"
"NOTE_DONTSHOWAGAIN","Não mostrar novamente"
"BOB_ROW_WAS","foi"
"BOB_PNL_NOP","Nenhum adereço encontrado"
"BOB_PNL_NOT","Nenhuma árvore encontrada"
"BOB_PNL_TRE","Árvores"
"BOB_PNL_PRP","Adereço"
"BOB_PNL_BOT","Ambas as árvores e adereços"
"BOB_PNL_HDV","Ocultar vanilla"
"BOB_PNL_ACT","Ações"
"BOB_PNL_MOD","Modo de substituição"
"BOB_PNL_LAN","Selecione a faixa"
"BOB_PNL_LAN_TIP","Selecione uma faixa específica na rede para modificação ou escolha mostrar todas as faixas"
"BOB_PNL_LAN_ALL","Todas as faixas"
"BOB_PNL_FUN","Funções extras"
"BOB_PNL_M_PIB","Props individuais nestes edifícios"
"BOB_PNL_M_PGB","Todos os props deste tipo nestes edifícios"
"BOB_PNL_M_PAB","Todos os props desse tipo em todos os edifícios"
"BOB_PNL_M_TIB","Árvores individuais nestes edifícios"
"BOB_PNL_M_TGB","Todas as árvores deste tipo nestes edifícios"
"BOB_PNL_M_TAB","Todas as árvores deste tipo em todos os edifícios"
"BOB_PNL_M_PIN","Props individuais nessas redes"
"BOB_PNL_M_PGN","Todos os props deste tipo nestas redes"
"BOB_PNL_M_PAN","Todos os props deste tipo em todas as redes"
"BOB_PNL_M_TIN","Árvores individuais nestas redes"
"BOB_PNL_M_TGN","Todas as árvores deste tipo nestas redes"
"BOB_PNL_M_TAN","Todas as árvores deste tipo em todas as redes"
"BOB_PNL_RTB","REMOVER Estes edifícios"
"BOB_PNL_RAB","REMOVER Todos os edifícios"
"BOB_PNL_RTN","REMOVER Estas redes"
"BOB_PNL_RAN","REMOVER todas as redes"
"BOB_PNL_RTT","Árvores do mapa"
"BOB_PNL_RTP","Props do mapa"
"BOB_PNL_RSW","Mostrar aleatoriamente"
"BOB_PNL_RST","Configuração aleatória"
"BOB_PNL_SCA","Escala de prop e árvores"
"BOB_PNL_APP","Aplicar e salvar as alterações"
"BOB_PNL_REV","Desfazer"
"BOB_PNL_ADD","Adicionar novo prop"
"BOB_PNL_REM","Remover prop adicionada"
"BOB_PNL_REV_UND","Desfazer a substituição selecionada"
"BOB_PNL_REV_TIP","O reverter não está disponível, pois não há nenhum substituto ativo para este item"
"BOB_PNL_HID","Ocultar este item (define a probabilidade para zero)"
"BOB_PNL_PKB","Pacotes de substituição"
"BOB_PNL_PRB","Probabilidade"
"BOB_PNL_ANG","Ângulo"
"BOB_PNL_OFF","Deslocamento"
"BOB_PNL_HEI","Altura"
"BOB_PNL_CUH","Personalizado"
"BOB_PNL_CUH_TIP","Se isso for selecionado, o deslocamento de altura personalizado especificado será usado (em vez de usar a altura padrão do suporte)"
"BOB_PNL_XOF","X"
"BOB_PNL_YOF","Y"
"BOB_PNL_ZOF","Z"
"BOB_PNL_REP","Espaçamento"
"BOB_PNL_REP_TIP","Distância entre instâncias"
"BOB_PNL_SUB","Sub-construções"
"BOB_RND_TIT","configurar árvores e props aleatórios"
"BOB_RND_NEW","Novo"
