"LANGUAGE","Русский"
"BOB_NAM","BOB: замена деревьев и реквизита"
"BOB_DESC","В РАЗРАБОТКЕ: Заменяет деревья и реквизит."
"TRN_CHOICE","Выбрать язык"
"LANGUAGE_GAME","Использ. системный"
"NOTE_CLOSE","Закрыть"
"NOTE_DONTSHOWAGAIN","Больше не показывать"
"BOB_MBX_OK","ОК"
"BOB_ROW_WAS","было"
"BOB_PNL_NOP","Реквизит не обнаружен"
"BOB_PNL_NOT","Деревья не обнаружены"
"BOB_PNL_TRE","Деревья"
"BOB_PNL_PRP","Реквизит"
"BOB_PNL_BOT","Деревья и реквизит"
"BOB_PNL_IND","Показать индивидуальный реквизит"
"BOB_PNL_HDV","Скрыть стандартные"
"BOB_PNL_ACT","Действия"
"BOB_PNL_MOD","Режим замены"
"BOB_PNL_LAN","Выберите полосу"
"BOB_PNL_LAN_TIP","Выберите определенную полосу для модификации, или выберите показать все полосы"
"BOB_PNL_LAN_ALL","Все полосы"
"BOB_PNL_FUN","Дополнительные функции"
"BOB_PNL_M_PIB","Отдельный реквизит в этих зданиях"
"BOB_PNL_M_PGB","Весь реквизит данного типа в этих зданиях"
"BOB_PNL_M_PAB","Весь реквизит данного типа во всех зданиях"
"BOB_PNL_M_TIB","Отдельные деревья в этих постройках"
"BOB_PNL_M_TGB","Все деревья данного типа в этих зданиях"
"BOB_PNL_M_TAB","Все деревья данного типа во всех зданиях"
"BOB_PNL_M_PIN","Отдельный реквизит на этих дорогах"
"BOB_PNL_M_PGN","Весь реквизит данного типа на этих дорогах"
"BOB_PNL_M_PAN","Весь реквизит данного типа на всех дорогах"
"BOB_PNL_M_TIN","Отдельные деревья на этих дорогах"
"BOB_PNL_M_TGN","Все деревья данного типа на этих дорогах"
"BOB_PNL_M_TAN","Все деревья данного типа на всех дорогах"
"BOB_PNL_RTB","Эти здания"
"BOB_PNL_RAB","Все здания"
"BOB_PNL_RTN","Эти пути"
"BOB_PNL_RAN","Все пути"
"BOB_PNL_RTT","Деревья карты"
"BOB_PNL_RTP","Реквизит карты"
"BOB_PNL_RSW","Показать случайное"
"BOB_PNL_RST","Настройка случайного"
"BOB_PNL_SCA","Масштабирование реквизита и деревьев"
"BOB_PNL_APP","Применить и сохранить изменения"
"BOB_PNL_REV","Отменить"
"BOB_PNL_ADD","Добавить новый реквизит"
"BOB_PNL_REM","Удалить добавленный реквизит"
"BOB_PNL_REV_UND","Отменить выбранную замену"
"BOB_PNL_REV_TIP","Возврат недоступен, так как для этого элемента нет активной замены"
"BOB_PNL_HID","Скрыть этот предмет (установите вероятность до нуля)"
"BOB_PNL_PKB","Пакеты замен"
"BOB_PNL_PRB","Вероятность"
"BOB_PNL_ANG","Угол"
"BOB_PNL_OFF","Смещение"
"BOB_PNL_HEI","Высота"
"BOB_PNL_CUH","Настроить"
"BOB_PNL_CUH_TIP","Если выбрано, то будет использоваться указанное пользовательское смещение по высоте (вместо высоты prop по умолчанию)"
"BOB_PNL_XOF","X"
"BOB_PNL_YOF","Y"
"BOB_PNL_ZOF","Z"
"BOB_PNL_REP","Интервал"
"BOB_PNL_REP_TIP","Расстояние между объектами"
"BOB_PNL_SUB","Дополнительное здание"
"BOB_RND_TIT","настройка случайных деревьев и реквизита"
"BOB_RND_NEW","Новый"
"BOB_RND_DEL","Удалить"
"BOB_RND_REN","Переименовать"
"BOB_RND_ADD","Добавить к вариантам"
"BOB_RND_SUB","Удалить из вариантов"
"BOB_SCA_TIT","масштаб-ние реквизита"
"BOB_SCA_MIN","Минимальный масштаб"
"BOB_SCA_MAX","Максимальный масштаб"
