"LANGUAGE","正體中文"
"BOB_NAM","BOB：樹木物體替換器(BOB The Tree And Prop Replacer)"
"BOB_DESC","持續開發中：一個替換樹木和物體的工具。"
"TRN_CHOICE","語言設置"
"TRN_SYS","使用遊戲預設語言"
"MES_CLS","關閉"
"MES_DSA","不要在顯示"
"BOB_MBX_OK","確定"
"BOB_ROW_WAS","曾經"
"BOB_PNL_NOP","沒找到物體"
"BOB_PNL_NOT","沒找到樹木"
"BOB_PNL_TRE","樹木"
"BOB_PNL_PRP","物體"
"BOB_PNL_BOT","同時兩者樹木和物體"
"BOB_PNL_IND","移除 顯示每一個單獨物體"
"BOB_PNL_HDV","隱藏遊戲預設素材"
"BOB_PNL_ACT","激活狀態"
"BOB_PNL_MOD","替換模式"
"BOB_PNL_LAN","Select lane"
"BOB_PNL_LAN_TIP","Select a specific lane in the network for modification, or choose to show all lanes"
"BOB_PNL_LAN_ALL","All lanes"
"BOB_PNL_FUN","額外功能"
"BOB_PNL_M_PIB","在這些建築中的獨立物體"
"BOB_PNL_M_PGB","在這些建築類型中的所有物體"
"BOB_PNL_M_PAB","在所有建築類型中的所有物體"
"BOB_PNL_M_TIB","在這些建築中的獨立樹木"
"BOB_PNL_M_TGB","在這些建築類型中的所有樹木"
"BOB_PNL_M_TAB","在所有建築類型中的所有樹木"
"BOB_PNL_M_PIN","在這些道路中的獨立物體"
"BOB_PNL_M_PGN","在這些道路類型中的所有物體"
"BOB_PNL_M_PAN","在所有道路類型中的所有物體"
"BOB_PNL_M_TIN","在這些道路中的獨立樹木"
"BOB_PNL_M_TGN","在這些道路類型中的所有樹木"
"BOB_PNL_M_TAN","在所有道路類型中的所有樹木"
"BOB_PNL_RTB","移除 這些建築"
"BOB_PNL_RAB","移除 所有建築"
"BOB_PNL_RTN","移除 這些道路"
"BOB_PNL_RAN","移除 所有道路"
"BOB_PNL_RTT","地圖樹木"
"BOB_PNL_RTP","地圖物體"
"BOB_PNL_RSW","隨機顯示"
"BOB_PNL_RST","隨機設置"
"BOB_PNL_SCA","物體和樹木縮放"
"BOB_PNL_APP","套用並保存"
"BOB_PNL_REV","重置"
"BOB_PNL_ADD","添加新物體"
"BOB_PNL_REM","移除已添加的物體"
"BOB_PNL_REV_UND","撤消選定的替換"
"BOB_PNL_REV_TIP","重置不可用，因為該項目沒有有效的替代品"
"BOB_PNL_HID","隱藏此項目 (設置可見度為零)"
"BOB_PNL_PKB","替換包"
"BOB_PNL_PRB","可見度"
"BOB_PNL_ANG","角度"
"BOB_PNL_OFF","偏移"
"BOB_PNL_HEI","高度"
"BOB_PNL_CUH","自訂"
"BOB_PNL_CUH_TIP","如果使用此選項，則使用玩家指定的自訂高度偏移 (而非使用遊戲預設的物體高度)"
"BOB_PNL_XOF","X"
"BOB_PNL_YOF","Y"
"BOB_PNL_ZOF","Z"
